hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
128,0.001,0.0001,0.5,2,0.5,700,0.9898509448679544,0.004102760438661682,0.9596527724164396,0.9607159585145533
128,0.0002,0.0001,0.5,1,0.5,400,0.9898424236862631,0.006155912675048993,0.9560352870630509,0.957447306791569
128,0.001,0.0001,0.3,1,0.75,700,0.9898243981096086,0.003898707612736378,0.9593788210904076,0.9598929407828706
256,0.001,0.0001,0.3,1,0.75,400,0.9898060447951968,0.004010114531634993,0.9495176350732908,0.9500936768149885
128,0.001,1e-05,0.3,1,0.5,1000,0.9898029859094614,0.004726001946616034,0.9574182311812116,0.958260287721646
128,0.001,1e-05,0.5,1,0.5,1000,0.9897784055776595,0.0036380139991674903,0.9566295340155649,0.9574439611910337
512,0.0002,0.0001,0.5,1,0.5,700,0.9897633296408213,0.004448473578948588,0.9600077744016939,0.9607259953161591
512,0.0002,0.0001,0.5,1,0.5,400,0.9897625649193875,0.003939436124257332,0.9611483167986068,0.961545667447307
128,0.001,0.0001,0.3,1,0.75,400,0.9896689411667026,0.00526504413642477,0.9573626666484994,0.9582803613248577
256,0.001,1e-05,0.5,1,0.75,1000,0.9896683949371072,0.005326545286572212,0.9561631770985051,0.9566309802609568
256,0.001,0.0001,0.5,1,0.5,1000,0.9896009902050109,0.0041826499910624405,0.9573409380996519,0.9582569421211108
256,0.0002,0.0001,0.5,1,0.5,400,0.9896003347294962,0.003962606192475259,0.9568537282038353,0.9582636333221813
256,0.001,1e-05,0.5,1,0.5,400,0.9895323837678044,0.005200939275511299,0.9566425365674082,0.9574539979926395
256,0.0002,0.0001,0.5,2,0.5,400,0.9894663992326567,0.004764228879256353,0.9590859187126994,0.9599063231850117
128,0.001,0.0001,0.3,2,0.75,1000,0.9894471719508917,0.006372279098106707,0.9591959443275643,0.9598996319839411
512,0.0002,0.0001,0.5,2,0.5,400,0.9893635988227659,0.0042078078885846686,0.9514197717592008,0.9525460020073604
256,0.001,1e-05,0.5,1,0.5,1000,0.9893401109501555,0.006097622014247389,0.9607726188776043,0.9615389762462362
128,0.001,1e-05,0.3,2,0.75,1000,0.9893397832123982,0.006968307628980189,0.9566129213831587,0.957447306791569
128,0.001,0.0001,0.5,2,0.75,1000,0.9893153121265155,0.0043201422602861085,0.9548804890452163,0.9558146537303445
256,0.001,0.0001,0.3,1,0.5,400,0.9892602521832796,0.004277824055890534,0.9532107421931709,0.9533589829374373
256,0.001,1e-05,0.5,1,0.75,700,0.9892014778787939,0.004258910191462618,0.9530446298916788,0.9541786550685849
256,0.0002,1e-05,0.5,2,0.5,700,0.9891685948571391,0.004586834624703717,0.9539652645240542,0.9549983271997323
128,0.001,0.0001,0.3,2,0.5,400,0.9891301402936094,0.004752716188138027,0.952628837837197,0.9533522917363666
256,0.001,0.0001,0.3,1,0.5,1000,0.9891253334731681,0.004105969576419675,0.9535158723312283,0.9541753094680494
128,0.001,1e-05,0.5,1,0.75,400,0.9891023918301534,0.003984911290120114,0.9520613797828987,0.9533656741385078
256,0.001,1e-05,0.3,2,0.75,1000,0.989080214908572,0.004919949895330244,0.9552312904267151,0.9558113081298092
256,0.001,1e-05,0.3,1,0.5,700,0.9890680886115499,0.0030905353398815436,0.9530973384817809,0.9541786550685847
512,0.0002,1e-05,0.5,2,0.5,400,0.9890628448074322,0.004888581182567437,0.953069909265239,0.9541786550685847
512,0.001,0.0001,0.5,1,0.75,1000,0.9890066924050052,0.0022099334377580506,0.9557272371630516,0.9566343258614921
256,0.001,1e-05,0.5,2,0.75,1000,0.9889561115444533,0.0032838846032309473,0.9574023147113412,0.9582669789227165
256,0.001,0.0001,0.3,2,0.5,1000,0.9889312034748942,0.003916047066750647,0.9548973634302282,0.9558179993308797
128,0.0002,1e-05,0.5,2,0.5,400,0.9889195141615483,0.004480644835930624,0.9551766486987882,0.9566309802609568
128,0.001,1e-05,0.5,1,0.5,700,0.988891328714416,0.0034800288821311984,0.9595399412255142,0.9607193041150885
128,0.001,1e-05,0.5,2,0.75,1000,0.9888829167786437,0.005412557664778652,0.950878538036924,0.9517162930746068
128,0.001,1e-05,0.5,1,0.5,400,0.9888740678591951,0.006862211825761406,0.9562486468256987,0.9574539979926395
128,0.001,0.0001,0.3,1,0.5,400,0.9888517816916949,0.004716752210778182,0.9510077138970676,0.9517229842756775
128,0.001,1e-05,0.5,2,0.75,700,0.9887424265266571,0.0049659536976982615,0.9538502765877578,0.954994981599197
256,0.001,1e-05,0.5,2,0.5,700,0.9887275690816569,0.00597561180556539,0.9625089453396072,0.963174974907996
128,0.001,0.0001,0.5,2,0.5,400,0.98869992986412,0.004213554905674769,0.9537465699722654,0.9549882903981264
128,0.001,0.0001,0.5,2,0.75,700,0.9886886775344508,0.005087652675689852,0.953842441168591,0.9549882903981264
128,0.001,0.0001,0.5,1,0.75,700,0.9886691225149284,0.005974047620003561,0.9531425488510546,0.9541719638675141
256,0.001,1e-05,0.3,1,0.5,1000,0.9886543743158474,0.005031006078916675,0.9549737195203567,0.9550050184008029
128,0.001,0.0001,0.5,1,0.75,400,0.9886417017892297,0.005663189727333623,0.9626826926374268,0.9631850117096018
