hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc,mean_thr
256,0.0002,0.0001,0.5,1,0.75,400,0.9978032407407408,0.0034067940520826783,0.9975151444997492,0.9975077639751554,3.302730131149292
256,0.001,1e-05,0.5,1,0.75,400,0.9977831790123457,0.004058855848000542,0.9975151444997492,0.9975077639751554,1.2760354280471802
512,0.001,0.0001,0.5,2,0.75,400,0.9977816358024691,0.004359977583722101,0.9974999023399352,0.9975077639751554,-0.3712079629302025
512,0.001,0.0001,0.5,1,0.5,700,0.9977812499999998,0.004437500000000006,0.9987421383647799,0.99875,-2.995105338096619
128,0.001,1e-05,0.5,1,0.5,700,0.9977523148148147,0.004048321914368871,0.9975151444997492,0.9975077639751554,5.049287176132202
256,0.001,0.0001,0.3,1,0.75,400,0.9977511574074075,0.00426997005226693,0.9975151444997492,0.9975077639751554,1.5884886145591737
512,0.001,1e-05,0.5,1,0.75,700,0.9977499999999999,0.004499999999999993,0.9987421383647799,0.99875,-0.7141232013702392
256,0.001,0.0001,0.5,1,0.5,700,0.9977499999999999,0.004499999999999993,0.9987421383647799,0.99875,-0.5343609809875488
512,0.001,1e-05,0.5,2,0.5,1000,0.9977499999999999,0.004499999999999993,0.9987421383647799,0.99875,-2.150038170814514
512,0.001,0.0001,0.3,2,0.5,700,0.9977499999999999,0.004499999999999993,0.9987421383647799,0.99875,-0.8067566156387329
256,0.0002,0.0001,0.5,1,0.5,700,0.9977399691358023,0.003298840238233824,0.9975151444997492,0.9975077639751554,4.334762096405029
128,0.001,1e-05,0.5,2,0.5,700,0.9977241512345678,0.003570872361877522,0.9975151444997492,0.9975077639751554,0.7129706174135209
128,0.001,1e-05,0.3,2,0.75,400,0.99771875,0.004562499999999981,0.9987421383647799,0.99875,1.1871548116207122
256,0.0002,0.0001,0.3,2,0.5,700,0.9977091049382716,0.0033571682283114663,0.9975151444997492,0.9975077639751554,1.3841394156217575
128,0.001,0.0001,0.5,2,0.5,700,0.9976875,0.0046249999999999685,0.9987421383647799,0.99875,2.75664598941803
256,0.001,0.0001,0.3,2,0.75,400,0.9976875,0.0046249999999999685,0.9987421383647799,0.99875,-1.069906158745289
256,0.001,1e-05,0.3,2,0.75,700,0.9976875,0.0046249999999999685,0.9987421383647799,0.99875,0.2941745758056641
512,0.001,0.0001,0.5,1,0.75,700,0.9976566358024691,0.004609955366505889,0.9974999023399352,0.9975077639751554,-2.000857973098755
512,0.001,1e-05,0.3,2,0.5,400,0.99765625,0.0046875,0.9987421383647799,0.99875,-2.0424820624291895
512,0.001,1e-05,0.5,2,0.5,400,0.99765625,0.0046875,0.9987421383647799,0.99875,-2.031139588356018
256,0.0002,1e-05,0.3,2,0.75,1000,0.9976469907407408,0.003420673682885787,0.9975151444997492,0.9975077639751554,0.9978326678276062
128,0.001,0.0001,0.5,2,0.75,400,0.9976354166666667,0.0030991290219099083,0.9975151444997492,0.9975077639751554,2.1283332824707033
128,0.001,0.0001,0.5,1,0.75,700,0.9976296296296298,0.0038816511130589397,0.9975151444997492,0.9975077639751554,6.8405537605285645
512,0.001,0.0001,0.5,2,0.5,700,0.997625,0.004749999999999988,0.9987421383647799,0.99875,0.69874347448349
512,0.001,1e-05,0.5,1,0.5,400,0.997625,0.004749999999999988,0.9987421383647799,0.99875,-2.5490306437015535
256,0.001,1e-05,0.5,2,0.75,400,0.997599922839506,0.0036915987401643265,0.9975151444997492,0.9975077639751554,0.21404178142547609
256,0.001,1e-05,0.3,2,0.75,400,0.9975937500000001,0.004812499999999976,0.9987421383647799,0.99875,-0.26532529965043067
256,0.001,1e-05,0.5,1,0.5,400,0.9975655864197531,0.004278345866203541,0.9975151444997492,0.9975077639751554,0.0723876714706421
128,0.001,1e-05,0.3,2,0.5,1000,0.9975644290123459,0.004495283818931731,0.9975151444997492,0.9975077639751554,0.9807491175830364
256,0.001,0.0001,0.5,2,0.5,400,0.9975312500000001,0.004937499999999995,0.9987421383647799,0.99875,-0.3105581998825073
512,0.001,0.0001,0.3,2,0.75,700,0.9975312500000001,0.004937499999999995,0.9987421383647799,0.99875,-2.3878148913383486
128,0.001,1e-05,0.5,1,0.75,400,0.9975154320987654,0.003043059621162281,0.9975151444997492,0.9975077639751554,2.6055185317993166
128,0.001,1e-05,0.5,2,0.5,1000,0.9975030864197532,0.00440258493993361,0.9975151444997492,0.9975077639751554,1.4688077509403228
128,0.001,1e-05,0.5,2,0.75,700,0.9975027006172841,0.004474079825444089,0.9975151444997492,0.9975077639751554,2.8379708409309385
512,0.001,0.0001,0.3,2,0.75,1000,0.9975023148148148,0.004546572085623029,0.9975151444997492,0.9975077639751554,-3.0629311084747313
128,0.001,0.0001,0.3,2,0.5,1000,0.9974714506172839,0.004536309727964565,0.9975151444997492,0.9975077639751554,0.49331767559051515
256,0.0002,1e-05,0.5,1,0.75,400,0.9974629629629629,0.00394474872761314,0.9975151444997492,0.9975077639751554,3.1882042407989504
