hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
128,0.001,0.001,0.6,0.5,0.75,200,0.6688888888888889,0.10152687075089857,0.7878293131209355,0.6904761904761905
256,0.001,0.001,0.6,0.5,0.75,400,0.6686749851455733,0.10265795359818582,0.7004192956022225,0.6243386243386244
128,0.0002,0.001,0.4,0.5,0.75,200,0.6683006535947712,0.060906296746336526,0.7495027195027195,0.6402116402116402
128,0.001,0.0001,0.4,1.0,0.75,200,0.6681521093285799,0.06598561424196468,0.7502981029810298,0.6330687830687831
64,0.001,0.0001,0.4,1.0,0.5,200,0.6677302436125967,0.08832320133686575,0.7396462589991406,0.6333333333333333
128,0.0002,0.0001,0.6,1.0,0.75,600,0.6675638740344623,0.09686407544486372,0.7575704412546518,0.6330687830687831
256,0.0002,0.0001,0.6,0.5,0.75,200,0.6658169934640523,0.12382427296840488,0.7844412833886519,0.6843915343915343
256,0.0002,0.0001,0.4,0.5,0.5,600,0.6652762923351159,0.08203753135826425,0.6757299502741299,0.6187830687830689
128,0.0002,0.001,0.4,1.0,0.5,200,0.6645989304812835,0.10353604080071903,0.7574755799755799,0.6772486772486772
256,0.001,0.001,0.4,0.5,0.5,600,0.6644563279857397,0.12069500683276992,0.7697746300303845,0.676984126984127
256,0.0002,0.0001,0.4,1.0,0.5,400,0.6640463458110517,0.06540659566636868,0.7533471359558315,0.6544973544973545
64,0.0002,0.001,0.4,0.5,0.75,400,0.6638443256090315,0.05023476661810502,0.7576357886697883,0.6404761904761904
128,0.0002,0.0001,0.6,0.5,0.75,200,0.6637373737373737,0.10063456387288224,0.7791430744346968,0.6473544973544973
128,0.001,0.001,0.4,0.5,0.5,600,0.6631372549019607,0.054216664269611324,0.7657431457431457,0.6616402116402117
128,0.0002,0.0001,0.4,1.0,0.75,400,0.6630303030303031,0.059751402831620004,0.745303910181959,0.6404761904761904
128,0.001,0.0001,0.4,0.5,0.5,400,0.6630124777183601,0.059900634015818945,0.7389888566717835,0.6396825396825397
64,0.0002,0.0001,0.4,0.5,0.75,400,0.66301247771836,0.0634612649178946,0.7578787878787878,0.6187830687830688
256,0.0002,0.0001,0.6,0.5,0.75,600,0.6629590017825311,0.09389885713097236,0.7680967570441254,0.6473544973544973
128,0.001,0.0001,0.4,1.0,0.5,600,0.6627688651218063,0.07158897777364731,0.689696483682049,0.5904761904761904
256,0.001,0.0001,0.6,0.5,0.5,400,0.6625609031491384,0.08764156902911746,0.6825469112376132,0.6108465608465609
128,0.0002,0.0001,0.4,0.5,0.75,400,0.6621033868092692,0.08864229221391763,0.7576379176379178,0.6330687830687831
128,0.0002,0.001,0.4,0.5,0.75,600,0.6619429590017826,0.06423016693463528,0.7410591747433852,0.625925925925926
64,0.001,0.0001,0.6,1.0,0.5,200,0.6612893642305406,0.07526733365298113,0.7921680490819064,0.691005291005291
128,0.0002,0.0001,0.6,1.0,0.5,400,0.6612537136066547,0.07627335610949576,0.7664996533686267,0.6478835978835978
64,0.0002,0.0001,0.6,0.5,0.75,600,0.6609387997623292,0.08011379594200808,0.7567159971811135,0.6116402116402117
128,0.0002,0.0001,0.6,1.0,0.75,200,0.6608615567439097,0.12587140340775724,0.7751941778028734,0.6402116402116402
256,0.0002,0.001,0.6,1.0,0.5,600,0.6605407011289366,0.11171318033838852,0.7867527601188371,0.68994708994709
64,0.001,0.001,0.4,0.5,0.75,600,0.6597266785502078,0.08029330283967367,0.7359385712326889,0.625925925925926
128,0.001,0.0001,0.4,0.5,0.5,200,0.6597029114676174,0.10466135377515048,0.719728162336858,0.6187830687830688
128,0.0002,0.0001,0.6,0.5,0.75,400,0.6596791443850267,0.11181182641516378,0.7924029122209102,0.6759259259259259
64,0.001,0.001,0.4,0.5,0.5,600,0.6594711824123588,0.08442651939901306,0.7714289507818325,0.6330687830687831
256,0.001,0.0001,0.4,0.5,0.5,600,0.6593464052287582,0.059362415153629874,0.713739943151708,0.6484126984126984
256,0.0002,0.0001,0.4,0.5,0.75,200,0.6591978609625668,0.10072538532361945,0.6856721056721057,0.5902116402116402
128,0.0002,0.0001,0.4,0.5,0.5,600,0.6567260843731433,0.09961750460307237,0.7848926664487306,0.7055555555555555
64,0.001,0.0001,0.4,0.5,0.75,600,0.6559358288770054,0.05774767245870021,0.7692906060347922,0.6473544973544973
256,0.0002,0.001,0.4,0.5,0.75,200,0.6553891859774212,0.07454732523727477,0.7302020202020202,0.6187830687830689
256,0.001,0.0001,0.4,0.5,0.5,400,0.6551396316102198,0.05201169587179792,0.7405128205128205,0.6544973544973546
256,0.0002,0.001,0.4,1.0,0.5,200,0.6547831253713607,0.1053436289766023,0.7455116381203337,0.6550264550264551
64,0.0002,0.0001,0.4,1.0,0.5,200,0.6547653000594178,0.10236418528909243,0.7750846966407607,0.655026455026455
64,0.001,0.0001,0.4,1.0,0.5,600,0.6544147355912061,0.03027772410415318,0.7443488474226593,0.6187830687830688
256,0.0002,0.0001,0.6,1.0,0.75,400,0.6543850267379678,0.1424233545023065,0.7676328502415458,0.6544973544973545
64,0.0002,0.001,0.4,1.0,0.5,200,0.6540879382055852,0.09783507365805097,0.7529733071226339,0.6187830687830688
64,0.001,0.0001,0.4,1.0,0.75,200,0.6540641711229946,0.06954840994816197,0.7514685314685314,0.6116402116402117
64,0.0002,0.0001,0.6,1.0,0.75,600,0.6539096850861557,0.06353509431514767,0.759855072463768,0.6187830687830688
128,0.0002,0.0001,0.4,1.0,0.5,400,0.6535947712418301,0.08512033058955014,0.6901759678230267,0.6341269841269841
64,0.001,0.0001,0.6,1.0,0.75,200,0.6531491384432562,0.12674271177099747,0.7764640190727146,0.6473544973544973
128,0.001,0.001,0.4,0.5,0.5,200,0.6531134878193703,0.09986247224019154,0.7623205483886597,0.6616402116402117
128,0.0002,0.001,0.6,0.5,0.5,400,0.652311348781937,0.11691066700569146,0.7644005270092226,0.6187830687830688
256,0.0002,0.0001,0.6,0.5,0.5,600,0.6520499108734403,0.09764112988881211,0.7869201369201368,0.6978835978835979
64,0.0002,0.001,0.6,0.5,0.75,400,0.6518954248366013,0.1753064168540292,0.7644005270092226,0.6187830687830688
64,0.0002,0.0001,0.6,1.0,0.5,400,0.6510338680926917,0.13875847970630537,0.7644005270092226,0.6187830687830688
64,0.0002,0.001,0.6,1.0,0.5,400,0.6510219845513964,0.08017069235075659,0.767834870443566,0.625925925925926
256,0.0002,0.0001,0.4,1.0,0.75,600,0.6508021390374331,0.088223301729193,0.7514685314685314,0.6116402116402117
256,0.0002,0.0001,0.4,1.0,0.5,200,0.6502495543672013,0.09973972311225225,0.6789898989898988,0.5973544973544973
64,0.001,0.001,0.6,1.0,0.75,200,0.6498039215686274,0.14779321193408348,0.7644005270092226,0.6187830687830688
256,0.0002,0.001,0.4,1.0,0.75,400,0.6480629827688651,0.0697957681010542,0.6714009661835748,0.6119047619047618
256,0.0002,0.0001,0.6,0.5,0.75,400,0.6475876411170528,0.10464159627575788,0.7776328502415458,0.6473544973544973
128,0.0002,0.0001,0.6,0.5,0.5,600,0.6473618538324422,0.10228398844405577,0.743947163947164,0.6116402116402117
